id_client,Category,Price,Card Type,state_name,First_name,Gender,Job_Title
37,Electronics,72.93,mastercard,ND,Cornie,Genderqueer,Editor
38,Jewelry,121.89,mastercard,PA,Rab,Male,Assistant Manager
39,Baby,64.3,mastercard,MA,Codie,Female,Financial Analyst
40,Outdoors,9.48,mastercard,OR,Scott,Female,Civil Engineer
5,Outdoors,61.95,mastercard,MN,Tanney,Female,VP Marketing
6,Outdoors,15.96,mastercard,VA,Launce,Male,Automation Specialist I
7,Beauty,149.02,mastercard,CO,Adham,Male,Project Manager
8,Games,97.38,mastercard,TX,Dante,Male,Geological Engineer
9,Outdoors,139.96,mastercard,PA,Hi,Female,Senior Cost Accountant
10,Shoes,55.45,mastercard,CA,Carmine,Female,Statistician II
11,Jewelry,96.16,mastercard,NC,Waring,Female,Software Consultant
12,Computers,104.93,mastercard,CA,Cori,Female,Senior Sales Associate
13,Baby,92.52,mastercard,TX,Rodge,Genderfluid,Health Coach III
14,Grocery,108.42,mastercard,TX,Nikolos,Male,Geologist III
15,Shoes,144.17,mastercard,DC,Guy,Female,Senior Cost Accountant
16,Computers,5.45,mastercard,TX,Anton,Male,Media Manager II
17,Sports,5.12,mastercard,VA,Willem,Female,Media Manager II
18,Games,29.3,mastercard,OH,Timothy,Female,Marketing Manager
19,Toys,9.34,mastercard,MD,Sheridan,Male,Assistant Manager
20,Music,94.53,mastercard,LA,Kalil,Genderfluid,Senior Editor
21,Computers,16.72,mastercard,LA,Augusto,Female,Research Nurse
22,Tools,32.56,mastercard,LA,Duffie,Female,Information Systems Manager
23,Beauty,6.84,mastercard,FL,Clyde,Female,Dental Hygienist
24,Grocery,10.44,mastercard,GA,Harcourt,Female,Web Designer III
25,Clothing,85.65,mastercard,LA,Elwyn,Male,Senior Developer
26,Industrial,133.3,mastercard,LA,Desmund,Female,Senior Sales Associate
27,Baby,69.98,mastercard,TX,Emelen,Male,Project Manager
28,Jewelry,48.58,mastercard,MI,Mattheus,Female,Pharmacist
29,Home,142.53,mastercard,MI,Jonas,Male,Cost Accountant
30,Industrial,99.03,mastercard,OH,Moishe,Female,Human Resources Assistant III
31,Toys,87.62,mastercard,NE,Reinwald,Male,Sales Representative
32,Home,141.11,mastercard,CA,Tobin,Male,Food Chemist
33,Books,68.77,mastercard,FL,Bo,Male,VP Product Management
34,Home,15.12,mastercard,WA,Sherm,Male,Senior Financial Analyst
35,Movies,96.45,mastercard,VA,Mile,Male,Occupational Therapist
36,Health,123.38,mastercard,TX,Turner,Male,Automation Specialist IV
37,Home,58.77,mastercard,ND,Cornie,Genderqueer,Editor
38,Clothing,117.56,mastercard,PA,Rab,Male,Assistant Manager
39,Clothing,134.15,mastercard,MA,Codie,Female,Financial Analyst
40,Jewelry,53.63,mastercard,OR,Scott,Female,Civil Engineer
41,Books,82.78,mastercard,MS,Hilary,Male,Design Engineer
